"school","course","class","gender","ethnic","major","grands","parents","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","pass","old_must","mult","div","frac","log_exp","chem"
"UNT",59.5,"SO","1","White","dual","N","Y","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"UNT",58.6,"FR","0","Hisp","stem","N","Y","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"UTXW",80.9,"FR","0","Asian","med","N","N","78",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"ACUP",64.1,"SO","0","Black","med","Y","Y","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0
"ACUP",70,"FR","0","White","stem","N","N","78",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0
"ACUP",70.2,"SO","0","Hisp","med","Other","Y","87",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,1,0
"TAMSA",74.1,"JR","1","Hisp","stem","N","Y","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0
"TAMSA",68.3,"JR","0","Hisp","med","N","N","87",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,1,0
"TAMSA",38.1,"JR","0","Hisp","stem","N","N","87",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0
"TAMSA",47.8,"SO","0","Mixed","med","N","Y","87",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
"TAMSA",66,"SO","0","Hisp","med","N","N","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0
"TAMSA",67,"JR","0","White","stem","Y","Y","87",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0
"TAMSA",85,"SO","0","Hisp","med","N","N","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,0
"TAMU",46.6,"FR","0","Hisp","stem","N","N","87",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,1,0
"TAMU",51.2,"SO","1","Black","stem","Y","Y","78",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0
"TAMU",77.1,"FR","0","Black","med","N","N","87",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,1,1,0
"TAMU",38.8,"SO","1","Mixed","stem","Y","Y","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0
"TAMU",76.7,"FR","0","Hisp","stem","Other","N","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,0,0,1
"TSU",68.5,"FR","0","White","med","Y","Y","78",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0
"TSU",74.4,"FR","0","Hisp","med","N","N","78",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0
"TSU",58.2,"JR","0","Mixed","med","Y","Y","87",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0
"TSU",62.6,"FR","0","White","stem","N","Y","87",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0
"TSU",75.3,"FR","0","Hisp","med","N","N","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,0
"TSU",75.4,"FR","0","White","med","Y","Y","78",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,1,1
"TSU",69.5,"FR","0","White","med","N","N","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,2
"TSU",68.6,"SO","0","Hisp","med","N","N","78",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1
"UNT",46.4,"JR","-1","White","med","Y","N","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,1
