school,letter,course,class,gender,ethnic,major,tx_hs,grands,parents,emp_on,emp_off,version,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must
UNT,F,27,SO,1,White,b,Y,N,N,n,Y,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
UNT,F,NA,FR,1,Hisp,a. Sci,Y,N,N,N,N,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,F,29.5,FR,1,Black,a. Sci,Y,N,N,Y,N,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
UNT,D,65.8,SO,1,White,a. Eng,Y,Y,Y,N,N,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,C,74.3,JR,0,Hisp,a. Sci,Y,N,N,N,Y,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
UNT,C,73.4,FR,0,Black,b,Y,N,N,Y,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
UNT,B,83.8,SO,0,White,a. Sci,Y,N,Y,N,N,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,F,49.9,FR,0,"Hisp,Black",a. Sci,Y,N,N,N,Y,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,W,NA,SO,0,White,c,Y,N,N,N,N,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,D,59.5,SO,1,White,b+a. Eng,Y,N,Y,N,Y,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,W,NA,PB,0,White,c,N,Y,Y,N,Y,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNT,D,58.6,FR,0,Hisp,a. Sci,Y,N,Y,N,N,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UTXW,B,80.9,FR,0,Asian,b,Y,N,N,N,N,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACUP,D,64.1,SO,0,Black,b,Y,Y,Y,N,Y,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
ACUP,C,70,FR,0,White,a. Sci,Y,N,N,N,N,78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ACUP,C,70.2,SO ,0,Hisp,b,Y,DK,Y,N,N,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ACUP,W,NA,FR,1,White,a. Eng,Y,N,N,N,N,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
TAMSA,C,74.1,JR,1,Hisp,a. Sci,Y,N,Y,N,Y,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
TAMSA,D,68.3,JR,0,Hisp,b,Y,N,N,N,Y,87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
TAMSA,F,38.1,JR,0,Hisp,a. Sci,Y,N,N,N,N,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
TAMSA,F,47.8,SO,0,"White,Hisp",b,Y,N,Y,N,Y,87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TAMSA,D,66,SO,0,Hisp,b,N,N,N,N,N,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
TAMSA,D,67,JR,0,White,a. Sci,Y,Y,Y,N,Y,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
TAMSA,B,85,SO,0,Hisp,b,Y,N,N,Y,N,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
TAMU,F,46.6,FR,0,Hisp,a. Sci,Y,N,N,N,N,87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
TAMU,F,51.2,SO,1,Black,a. Sci,N,Y,Y,Y,N,78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TAMU,C,77.1,FR,0,Black,b,N,N,N,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
TAMU,F,38.8,SO,1,"Hisp,White",a. Sci,Y,Y,Y,N,Y,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
TAMU,C,76.7,FR,0,Hisp,a. Sci,Y,DK,N,N,N,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
TAMU,W,NA,FR,0,Hisp,STEM,Y,N,N,N,N,87,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
TSU,C,68.5,FR,0,White,b,N,Y,Y,N,N,78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TSU,C,74.4,FR,0,Hisp,b,Y,N,N,N,N,78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TSU,F,58.2,JR,0,"White,Hisp",b,Y,Y,Y,N,Y,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
TSU,D,62.6,FR,0,White,a. Sci,Y,N,Y,N,Y,87,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
TSU,C,75.3,FR,0,Hisp,b,Y,N,N,N,N,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
TSU,C,75.4,FR,0,White,b,Y,Y,Y,Y,N,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
TSU,C,69.5,FR,0,White,b,Y,N,N,N,Y,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TSU,C,68.6,SO,0,Hisp,b,Y,N,N,N,N,78,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
UNT,W,NA,SO,1,Hisp,a. Sci,Y,N,Y,N,Y,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
