"course_avg","school","class","gender","ethnicity","parent","grand","hrs_work","emp_on","emp_off","tx_birth","tx_hs","version","must"
88.7,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v87",17
81.2,"ACUP","FR","1","White","N","N","0","N","N","Y","Y","v78",15
83.4,"ACUP","FR","1","White","Y","Other","0","N","N","Y","Y","v78",13
70.1,"ACUP","SR","1","White","Y","Y","0","N","N","Y","Y","v78",12
68.1,"ACUP","FR","0","Hisp","Y","N","0","N","N","Y","Y","v87",6
88.6,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v87",11
95.5,"ACUP","FR","0","White","Y","Other","0","N","N","Y","Y","v78",7
95.7,"ACUP","FR","1","White","Y","Other","0","N","N","Y","Y","v87",18
86,"ACUP","JR","0","Black","Y","Other","20-29","N","Y","Y","N","v78",9
91.5,"ACUP","FR","1","White","Y","Y","0","N","N","Y","Y","v87",9
94.3,"ACUP","FR","1","White","Y","Y","1-10","N","Y","Y","Y","v87",20
83.2,"ACUP","SO","0","White","Y","Y","1-10","Y","N","Y","N","v78",15
88.9,"ACUP","FR","0","White","Y","Y","0","N","N","Y","N","v78",16
81.9,"ACUP","SR","0","Black","N","N","0","N","N","Y","N","v87",7
92.4,"ACUP","SO","0","White","Y","Y","0","N","N","Y","Y","v78",5
93.1,"ACUP","FR","1","White","Y","Y","0","N","N","Y","Y","v78",13
92.2,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v87",5
86.9,"ACUP","FR","0","White","Y","Other","0","N","N","Y","Y","v87",14
92.4,"ACUP","SO","1","White","Y","N","0","N","N","Y","Y","v87",14
76.8,"ACUP","FR","1","Hisp","Y","N","0","N","N","Y","Y","v87",8
42.8,"ACUP","FR","0","Black","Y","N","0","N","N","Y","Y","v87",3
61.3,"ACUP","SO","0","White","Y","Other","0","N","N","Y","Y","v78",7
96.4,"ACUP","FR","1","Hisp","Y","Y","0","N","N","Y","Y","v87",18
84.3,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v78",6
