"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"UTXW",76,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,12
"ACUP",94.55,"FR",0,"White","a. Sci","Y","Y","N","N","0",78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17
"ACUP",92.7,"FR",0,"White","b","Y","Y","N","N","0",87,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,13
"ACUP",81.21,"SO",0,"White","b","Y","Y","N","N","0",78,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,11
"ACUP",91.49,"FR",0,"White","b","Y","Y","N","N","0",78,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,13
"ACUP",83.4,"FR",0,"Black","b","Y","Y","N","N","0",87,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,11
"ACUP",93.91,"FR",0,"White","b","Y","Y","N","N","0",87,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,18
"ACUP",90.09,"SR",0,"White","d","Y","Y","N","N","0",87,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,10
"ACUP",60.18,"SO",0,"Hispanic","b","Y","Y","N","N","0",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACUP",91.6,"FR",0,"White","b","Y","Y","N","N","0",87,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,11
"ACUP",72.4,"SO",0,"White","b","Y","Y","N","N","0",87,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7
"ACUP",94.6,"FR",0,"White","b","Y","Y","N","N","0",78,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,14
"ACUP",92.8,"SO",0,"White","a. Sci","Y","Y","N","N","0",78,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4
"ACUP",87.16,"FR",0,"White","a. Sci","Y","Y","N","N","0",78,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,14
"ACUP",85.75,"FR",0,"White","b","Y","Y","N","N","0",87,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17
"ACUP",95.2,"FR",0,"White","b","Y","Y","N","N","0",78,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,15
"ACUP",85.35,"FR",0,"White","b","Y","Y","N","N","0",87,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,9
"ACUP",70.8,"FR",0,"Hispanic","c","Y","Y","N","N","0",78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACUP",77.5,"FR",0,"White","b","Y","Y","N","N","0",87,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,13
"ACUP",85.1,"SO",0,"White","b","Y","Y","N","N","0",78,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,10
"ACUP",94.47,"FR",0,"White","b","Y","Y","N","N","0",78,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,11
"ACUP",88.7,"FR",0,"White","a. Sci","Y","Y","N","N","0",87,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,17
"ACUP",88.64,"FR",0,"White","b","Y","Y","N","N","0",87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,11
"ACUP",88.91,"FR",0,"White","b","Y","Y","N","N","0",78,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,16
"ACUP",92.4,"SO",0,"White","b","Y","Y","N","N","0",78,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
"ACUP",92.15,"FR",0,"White","b","Y","Y","N","N","0",87,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5
"ACUP",84.28,"FR",0,"White","b","Y","Y","N","N","0",78,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6
