"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",66.1313666016431,6.58607369985465,10.0410911895964,3.15377935466257e-22
"schoolTAMSA",-5.33963930926537,2.761632091957,-1.93350856720436,0.0535846806081732
"schoolTAMU",-2.81900621394455,1.45352829288426,-1.93942300796275,0.0528594927184387
"schoolTSU",-3.67428801178054,2.20403877294959,-1.66707049661534,0.0959568194683533
"schoolUNT",-2.07023313683183,1.6007470095676,-1.29329189713186,0.196345452300973
"schoolUTXW",3.95359782521591,1.71271613309217,2.30837892446194,0.0212745624075183
"classJR",2.53457014904301,1.77890471974784,1.42479252593263,0.154671953205433
"classSO",0.835765908756382,1.09087354159893,0.766143715917218,0.443854334465929
"classSR",5.24740563585452,2.71610312515703,1.93196112005178,0.0537757861551322
"gender0",5.73927734423836,4.73526569146671,1.21202857837121,0.22591872329171
"gender1",4.78981279481735,4.76261623921148,1.00571042348152,0.314909493247883
"ethnicBlack",-5.27340437233077,2.13241545599034,-2.47297230824173,0.0136406895756581
"ethnicHispanic",-4.57665395974346,1.55884757755833,-2.93592139836533,0.00343686787794789
"ethnicMixed",-1.18663599716293,1.91582906111237,-0.619385111777117,0.535868334046732
"ethnicOther",-2.97396419333168,2.41585843455551,-1.23101757569618,0.218738173908511
"ethnicWhite",-1.07671098099984,1.53775885814309,-0.700181940294604,0.484051071631032
"majormed",5.45690956561712,2.55655347719345,2.13447894374095,0.0331574455173461
"majorother",2.58046035803079,2.84507903999584,0.90699074498632,0.364730168480299
"majorstem",3.1769289321398,2.55946140888571,1.24124900696312,0.21493804341448
"grandN",-1.87356522497575,1.35320094395185,-1.38454324418681,0.166642344670957
"grandY",-0.719028320398628,1.32450188381534,-0.542866966959236,0.587397730169457
"parentN",-2.19455672200639,3.29825124438768,-0.665369785197734,0.506037645628694
"parentY",-0.0322211049304829,3.1907151193744,-0.0100983960413239,0.991945718619832
"emp_onY",-1.53867717805107,2.42097769643369,-0.635560245068623,0.525275038542079
"emp_offY",-1.49580140900729,2.37376619449105,-0.63013847466473,0.528813823160795
"hrs1-10",2.40240322289232,2.71540896307159,0.884729797818295,0.37661236520691
"hrs11-19",-1.2747675696137,2.49912795643494,-0.510084954366313,0.61015601784734
"hrs20-29",-5.61831017470388,2.85008496661293,-1.97127813399217,0.0490935735424708
"hrs30-39",-3.92321979703782,4.16302918387721,-0.94239545863187,0.346321963780055
"hrs40+",-16.038003812414,4.69502234563498,-3.41595899481176,0.000673052140209317
"ver87",-0.132686954822543,0.793873746861377,-0.167138610323277,0.867310241784502
"old_must",1.26758982469303,0.112231374337356,11.294433772884,3.0018439484004e-27
