"","1"
"(Intercept)",69.0089026008599
"schoolACUP",1.54502369645438
"schoolTAMSA",-0.930898731666479
"schoolTAMU",0
"schoolTSU",0
"schoolUNT",0
"schoolUTXW",4.89482933083098
"classJR",0
"classSO",0
"classSR",3.41307122449067
"gender0",0.27723690258322
"gender1",0
"ethnicBlack",-1.52007179303513
"ethnicHispanic",-2.82006456664688
"ethnicMixed",0
"ethnicOther",0
"ethnicWhite",0
"majormed",1.93936421607004
"majorother",0
"majorstem",0
"grandN",-0.989458447199145
"grandY",0
"parentN",-1.86023523927537
"parentY",0
"emp_onY",-0.693159115417548
"emp_offY",-1.48059507990501
"hrs1-10",1.37732516770661
"hrs11-19",-0.285588813269494
"hrs20-29",-3.48306936402084
"hrs30-39",-0.35657842234972
"hrs40+",-11.5170567371965
"ver87",0
"mult",0.764048054495348
"div",0.545084386372607
"frac",1.01489636295842
"log_exp",0.922809097395321
"symb",2.44392033470409
