"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.01544318762644,1.62241866784962,-0.625882337123453,0.531392120607799
"schoolTAMSA",-0.720686195561022,0.670040692247634,-1.07558571277738,0.282112579914818
"schoolTAMU",-0.438436247338637,0.446765482693722,-0.981356582641826,0.326416928845314
"schoolTSU",-1.00489650716982,0.555312069140336,-1.80960681932499,0.0703567816689374
"schoolUNT",-0.334301788898902,0.452963296489016,-0.738032841711731,0.46049449225036
"schoolUTXW",1.2984112363575,0.580775316648415,2.23565154912312,0.0253746050858761
"classJR",1.34047162906826,0.544228995155534,2.4630654393656,0.0137754771019262
"classSO",0.462354769966089,0.29304599757471,1.57775493878982,0.11462191957137
"classSR",1.73297629498811,1.14199479907992,1.51749928842437,0.129140673013303
"gender0",0.851860586882688,1.01822412846945,0.836614025404374,0.402809559327748
"gender1",0.602828564499961,1.03138631380454,0.584483773375146,0.558894879263099
"ethnicBlack",-0.917932473966421,0.647055107054039,-1.41863106242319,0.156006604950184
"ethnicHispanic",-1.10129389547376,0.520966122320286,-2.11394531868753,0.0345199379329775
"ethnicMixed",-0.574474255775488,0.610443277495588,-0.941077208897006,0.346665294116939
"ethnicOther",-1.28818009300712,0.711464858419904,-1.81060255859726,0.0702023958638522
"ethnicWhite",-0.347516820176218,0.537751208796099,-0.646240890753604,0.518123361596347
"majormed",1.14529767734876,0.617700736153707,1.85413034227593,0.0637205147012046
"majorother",0.621569048514799,0.698370911648846,0.890027116174242,0.373451326090024
"majorstem",0.846014606066887,0.613098012346368,1.37990107459186,0.167617105703346
"grandN",-0.228855031959572,0.368499332765544,-0.621045987361883,0.53456936578699
"grandY",0.35835935309723,0.381055202654756,0.940439470713411,0.34699218399408
"parentN",-0.390541853499039,0.905764323064013,-0.431173809295024,0.666341996028976
"parentY",-0.0416566542746649,0.870968016934813,-0.0478279953622944,0.961853325009233
"emp_onY",-0.525300185340238,0.604018474082987,-0.869675693508781,0.384477659094288
"emp_offY",-0.496140816295567,0.603265061707235,-0.82242590825912,0.410834539009185
"hrs1-10",1.28821874088382,0.812194898465419,1.58609558286787,0.112717628729119
"hrs11-19",0.194141366163114,0.657123572149651,0.295441183958777,0.767656876323846
"hrs20-29",-0.405837107175268,0.698122096710726,-0.581326832494504,0.561020199647327
"hrs30-39",-0.292483328426795,1.02027295544255,-0.286671646902497,0.774363749271942
"hrs40+",-16.4108745054053,525.296203863683,-0.0312411823742477,0.975077197145227
"ver87",0.216598936874279,0.228759346814971,0.946841910024654,0.34371934224435
"old_must",0.228376093644712,0.035140023097853,6.49903083469132,8.08390932079282e-11
