school,course,class,gender,ethnic,major,zip,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1c,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
ACUPF17CHI028,60.2,SO,0,Hisp,b,78,Y,Y,N,N,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,5
ACUPF17CHI029,76.0,SO,1,White,a. Eng,76,Y,Y,Y,Y,11-19,87,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,11,1,1,1,1,1,0,1,0,0,1,1,1,9
ACUPF17CHI030,91.6,FR,0,White,b,79,Y,Y,N,N,0,87,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,11,1,0,1,1,1,0,1,1,0,1,1,1,9
ACUPF17CHI031,93.8,FR,0,White,b,77,DK,Y,N,N,0,78,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,11,1,1,1,1,1,1,1,0,1,1,1,0,10
ACUPF17CHI032,92.4,FR,0,Hisp,b,76,N,Y,N,N,0,87,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
ACUPF17CHI033,72.4,SO,0,White,b,87,Y,Y,N,N,0,87,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,0,1,0,1,0,0,0,1,1,7
ACUPF17CHI034,83.2,FR,0,Asian,b,79,N,N,N,N,11-19,87,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,8,1,0,0,1,1,1,1,0,1,1,1,0,8
ACUPF17CHI035,54.5,SR,0,Hisp,,84,N,N,N,N,0,78,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,1,0,0,0,0,0,1,1,1,5
ACUPF17CHI036,89.3,SR,1,White,a. Sci,75,N,Y,N,Y,1-10,78,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,11
ACUPF17CHI037,91.9,SR,1,White,c,76,Y,Y,N,Y,11-19,87,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,9,1,1,1,1,1,0,1,0,1,1,1,1,10
ACUPF17CHI038,75.2,FR,1,White,a. Sci,78,DK,Y,N,N,0,78,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,6,0,1,1,1,1,0,0,0,0,0,1,1,6
ACUPF17CHI039,78.6,FR,1,White,a. Eng,76,N,N,N,N,0,87,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,9,0,0,0,1,1,0,1,0,1,1,0,1,6
ACUPF17CHI040,90.8,SO,1,White,b,76,DK,Y,N,N,0,78,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI041,85.2,FR,0,Black,b,78,N,Y,N,N,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,8
ACUPF17CHI042,91.3,SO,1,White,a. Math,77,DK,Y,N,N,0,87,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,8,1,1,1,0,1,1,1,1,1,1,1,1,11
ACUPF17CHI043,78.8,FR,1,White,b,75,N,Y,N,N,0,78,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,15,1,1,1,1,1,0,1,0,1,1,1,0,9
ACUPF17CHI044,63.6,FR,1,Hisp,b,78,N,N,N,N,0,78,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,13,1,1,0,0,1,1,1,0,0,1,0,1,7
ACUPF17CHI045,76.1,SO,1,Hisp,a. Sci,79,Y,Y,N,Y,11-19,78,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,0,0,1,1,1,1,1,1,1,1,1,1,10
ACUPF17CHI046,92.6,JR,1,White,d,73,Y,Y,N,N,0,78,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,12,1,1,1,1,1,1,1,0,1,1,1,1,11
ACUPF17CHI047,92.6,SR,1,White,a. Eng,76,Y,Y,N,N,0,87,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,16,1,1,1,1,1,1,1,0,1,1,1,1,11
ACUPF17CHI048,85.6,FR,0,White,b,76,DK,Y,N,Y,11-19,78,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,8,1,1,1,0,1,0,1,0,1,1,1,0,8
ACUPF17CHI049,70.0,FR,0,White,a. Sci,75,N,N,N,N,0,78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,3
ACUPF17CHI050,73.0,FR,1,White,b,78,DK,Y,N,N,0,87,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,1,0,1,1,1,1,0,0,0,0,0,6
ACUPF17CHI051,94.6,FR,0,White,b,78,Y,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,14,1,1,1,1,1,0,1,0,1,1,1,1,10
ACUPF17CHI052,92.8,SO,0,White,a. Sci,76,Y,Y,N,N,0,78,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,1,1,0,0,0,1,0,1,1,1,1,8
ACUPF17CHI053,56.3,SO,1,Hisp,a. Sci,79,N,N,N,N,0,78,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,3
ACUPF17CHI054,66.9,SO,1,Black,d,77,N,N,Y,N,1-10,78,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,2
ACUPF17CHI055,96.5,FR,1,White,b,76,N,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,17,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI056,87.2,FR,0,White,a. Sci,78,Y,Y,N,N,0,78,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,14,1,0,1,1,1,0,1,1,1,1,1,1,10
ACUPF17CHI057,85.8,FR,0,White,b,78,Y,Y,N,N,0,87,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI058,95.2,FR,0,White,b,76,Y,Y,N,N,0,78,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,15,1,1,1,1,1,1,1,0,1,1,1,1,11
ACUPF17CHI059,68.5,FR,1,Hisp,a. Eng,79,N,Y,Y,Y,11-19,87,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,7,0,0,0,1,1,0,1,1,0,1,1,1,7
