school,course,class,gender,ethnic,major,zip,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1c,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
TAMSAF17CHI033,76.0,JR,0,Hisp,a. Sci,78,N,Y,N,Y,30-39,87,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,7,1,0,0,1,0,0,1,0,0,0,0,0,3
TAMSAF17CHI034,80.0,JR,0,Black,b,78,N,N,N,Y,30-39,78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,1,0,0,0,0,0,1,0,5
TAMSAF17CHI035,85.0,SO,0,Hisp,b,78,N,N,Y,N,20-29,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
TAMSAF17CHI037,70.0,SO,0,Hisp,b,78,DK,N,Y,N,0,78,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,10,1,0,0,0,1,0,1,0,0,1,0,1,5
TAMSAF17CHI038,74.0,JR,0,Hisp,b,78,N,N,N,N,0,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,2
TAMSAF17CHI041,94.0,FR,0,Mixed,a. Sci,78,N,N,N,N,0,87,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,8,0,1,1,1,0,0,0,0,0,0,1,1,5
TAMSAF17CHI043,109.0,FR,1,White,b,78,N,N,N,N,0,78,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,14,1,1,1,0,1,0,0,1,1,1,1,1,9
TAMSAF17CHI044,54.0,FR,1,Hisp,b,78,N,Y,N,Y,20-29,78,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,1,1,0,1,7
TAMSAF17CHI046,72.0,JR,0,White,b,85,DK,N,N,Y,11-10,78,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,9,1,1,0,1,0,0,1,0,0,0,0,1,5
TAMSAF17CHI050,90.0,JR,0,Hisp,b,78,N,N,n,Y,30-39,78,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,9,0,0,1,0,0,0,1,0,0,0,1,0,3
TAMSAF17CHI051,48.0,JR,1,Hisp,c,78,DK,N,N,Y,30-39,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1
TAMSAF17CHI052,89.0,SO,1,Hisp,b,78,N,Y,N,Y,11-19,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,5
TAMSAF17CHI053,55.0,SO,0,Hisp,b,78,Y,Y,N,Y,1-10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2
TAMSAF17CHI054,74.0,SO,0,Hisp,a. Sci,78,N,N,N,Y,20-29,78,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,8,1,1,1,1,0,0,0,0,1,1,1,0,7
TAMSAF17CHI055,86.0,SR,1,Black,b,78,N,N,N,Y,30-39,87,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,3
TAMUF17CHI003,46.6,FR,0,Hisp,a. Sci,75,N,N,N,N,0,87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,1,5
TAMUF17CHI005,86.8,FR,1,Hisp &White,b,77,DK,Y,N,N,0,87,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI006,91.0,FR,0,White,a. Math,75,Y,Y,N,N,0,87,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI007,93.2,FR,1,White,a. Sci,75,N,Y,N,N,0,78,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI008,92.6,FR,0,White,c,79,Y,Y,N,N,0,87,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,16,1,1,1,1,1,1,1,1,0,1,1,1,11
TAMUF17CHI010,66.3,FR,0,Hisp,b,78,N,Y,N,N,0,87,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,5,1,1,1,1,0,0,1,1,1,0,1,1,9
TAMUF17CHI011,57.2,FR,0,White,b,76,DK,Y,N,Y,1-10,78,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,7,1,1,0,0,0,0,1,0,0,0,1,1,5
TAMUF17CHI012,66.7,FR,0,Hisp,STEM & b,77,N,N,N,N,0,87,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,11,1,1,0,0,1,1,1,0,1,0,1,0,7
TAMUF17CHI013,86.7,FR,1,White,STEM,78,N,Y,N,N,0,87,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,12,1,1,1,1,1,0,1,1,0,1,1,1,10
TAMUF17CHI014,51.2,SO,1,Black,a. Sci,30,Y,Y,Y,N,11-19,78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,0,1,1,0,8
TAMUF17CHI015,91.7,FR,0,Black,b,77,Y,Y,N,N,0,78,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,15,1,1,1,1,1,0,1,0,1,1,1,1,10
TAMUF17CHI016,63.7,FR,0,Hisp,a. Sci,78,N,Y,N,N,0,78,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,1,0,1,1,0,5
TAMUF17CHI017,82.4,FR,1,Hisp,a. Sci,77,Y,N,Y,N,1-10,78,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,16,1,1,1,1,1,1,1,1,0,0,1,1,10
TAMUF17CHI018,70.7,FR,0,White,a. Sci,77,N,Y,N,N,0,87,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,0,0,0,8
TAMUF17CHI019,73.8,FR,0,Hisp,b,SINGAPORE,Y,Y,N,N,0,87,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,9,1,1,1,1,1,0,1,0,1,1,1,1,10
TAMUF17CHI020,94.5,FR,0,White,a. Sci,75,Y,Y,N,N,0,78,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI022,87.3,FR,0,White,b,78,DK,Y,N,N,0,87,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,14,1,0,1,1,1,1,1,1,1,1,1,0,10
TAMUF17CHI023,89.4,FR,1,White,a. Sci,78,Y,Y,N,N,0,87,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI024,87.8,FR,0,White,a. Math,78,DK,Y,N,Y,20-29,78,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,0,1,1,1,0,10
TAMUF17CHI025,79.1,FR,1,White,a. Eng,77,N,N,N,N,0,87,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,13,1,1,1,1,0,1,1,0,1,1,1,0,9
TAMUF17CHI026,79.2,SO,0,White,a. Sci,79,DK,N,N,N,0,78,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,11,1,1,0,1,1,0,1,0,1,0,0,1,7
TAMUF17CHI027,89.5,FR,0,White,a. Sci,75,Y,Y,N,N,0,87,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,10,1,1,1,1,1,0,1,0,1,1,1,1,10
TAMUF17CHI028,68.9,FR,0,Black,,77,Y,Y,N,N,0,87,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,1,1,0,1,0,1,1,7
TAMUF17CHI029,66.6,FR,0,White,b,77,Y,Y,N,N,0,78,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,11,1,0,0,1,0,0,1,0,0,1,1,1,6
TAMUF17CHI030,89.4,SO,0,White,a. Sci & b,78,Y,Y,N,N,0,87,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,17,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI031,81.8,FR,0,White,STEM & b,77,Y,Y,N,N,0,87,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,14,1,0,1,1,1,0,1,0,1,1,1,0,8
TAMUF17CHI032,67.7,FR,0,"White,Asian",a. Sci,92,N,Y,Y,N,20-29,78,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI034,88.0,FR,0,White,a. Sci,77,Y,Y,N,N,0,78,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,15,1,1,0,1,0,1,1,1,1,1,1,1,10
TAMUF17CHI035,79.3,FR,1,White,c,75,Y,Y,N,N,0,78,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,11,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI036,78.9,FR,0,White,c,77,N,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,14,1,1,1,1,1,0,1,0,1,0,1,1,9
TAMUF17CHI037,88.3,FR,1,White,b,77,Y,Y,N,N,0,78,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,10,1,0,1,1,1,1,1,0,0,1,1,1,9
TAMUF17CHI038,97.3,SO,1,White,c,78,Y,Y,N,Y,1-10,78,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,17,1,1,1,1,0,1,1,1,1,1,1,1,11
TAMUF17CHI039,74.7,SO,1,White,a. Sci,78,Y,Y,N,N,0,87,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1,1,1,1,0,1,1,1,0,9
TAMUF17CHI040,96.7,FR,0,White,b,77,Y,Y,N,N,0,87,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,11,1,1,1,0,1,1,1,1,1,1,1,0,10
TAMUF17CHI041,70.7,FR,0,White,b,78,N,N,N,N,0,78,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,0,1,1,0,0,1,1,8
TAMUF17CHI042,63.2,FR,1,White,b,77,N,Y,N,N,0,87,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,1,0,1,1,1,1,0,1,1,1,9
TAMUF17CHI043,91.5,FR,0,White,b,77,Y,Y,N,N,0,78,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI044,94.3,FR,1," White,NA",b,77,Y,Y,N,N,0,87,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI045,75.6,SO,1,White,a. Sci,78,Y,Y,N,N,0,78,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,1,1,0,1,1,1,1,0,1,1,1,0,9
TAMUF17CHI046,99.2,FR,0,White,b,78,DK,Y,N,N,0,78,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,11,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI047,81.3,FR,1,White,a. Sci,78,DK,Y,N,N,0,87,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,15,1,1,1,0,0,0,1,1,1,1,1,1,9
TAMUF17CHI048,58.9,FR,1,White,a. Sci,75,Y,Y,N,N,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,6
TAMUF17CHI049,92.6,FR,0,White,STEM,75,DK,Y,N,N,0,78,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,15,1,1,0,1,1,1,1,1,1,1,1,0,10
TAMUF17CHI050,84.2,FR,0,White,a. Sci,77,N,N,N,N,0,78,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,14,1,1,1,1,1,0,1,0,1,0,1,1,9
TAMUF17CHI051,92.5,FR,0,White,c,75,Y,Y,N,N,0,87,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI052,92.5,FR,0,White,a. Sci,78,Y,Y,N,N,0,78,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI053,72.9,FR,0,"White,Hisp",a. Sci,78,Y,Y,N,N,0,78,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,0,1,1,1,1,0,1,1,1,0,1,1,9
TAMUF17CHI054,91.7,FR,0,White,b,75,Y,Y,N,B,0,78,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,15,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI055,78.9,FR,1,White,b,76,N,Y,N,N,0,87,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,14,1,1,1,0,1,0,1,0,1,1,1,1,9
TAMUF17CHI056,77.1,FR,0,Black,b,62,N,N,N,N,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,1,1,1,0,1,1,0,1,1,1,10
TAMUF17CHI057,83.1,SO,1,White,a. Sci,76,Y,Y,N,N,0,78,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI058,81.0,FR,0,Asian,b,77,N,Y,N,N,0,87,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,13,1,1,1,1,1,0,1,1,1,1,1,0,10
TAMUF17CHI059,71.8,FR,0,White,a. Sci,78,Y,Y,N,N,0,87,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,9,1,1,0,1,0,1,0,1,1,1,1,0,8
TAMUF17CHI060,84.4,FR,0,White,b,78,Y,Y,Y,N,1-10,87,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,0,1,1,1,11
TAMUF17CHI061,95.4,FR,0,White,b,77,N,Y,N,N,0,87,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI062,92.6,FR,0,White,b,76,Y,Y,N,N,0,78,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,7,1,1,1,1,1,1,1,1,0,1,1,1,11
TAMUF17CHI063,89.0,FR,0,White,b,75,Y,Y,N,N,0,78,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI064,82.1,FR,0,"Black,White",b,77,Y,Y,N,N,0,78,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,12,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI065,85.5,SO,0,White,c,77,N,Y,Y,N,11-19,78,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,14,1,1,1,1,0,1,1,1,1,1,1,0,10
TAMUF17CHI066,96.3,FR,0,White,b,77,Y,Y,N,N,0,78,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI068,75.6,FR,1,White,b,75,Y,Y,N,N,0,87,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,14,1,1,1,1,1,1,1,1,0,1,1,0,10
TAMUF17CHI070,83.1,FR,1,Hisp,b,77,Y,Y,N,N,0,78,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,13,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI071,85.2,FR,1,White,a. Eng,76,Y,Y,N,N,0,87,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,0,1,1,0,1,1,0,9
TAMUF17CHI072,87.9,FR,0,White,a. Sci,77,Y,Y,N,N,0,87,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,12,1,1,1,1,1,0,1,0,1,1,1,1,10
TAMUF17CHI073,85.7,FR,1,Hisp,a. Math,77,DK,N,N,N,0,87,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,8,1,1,1,1,1,0,1,1,1,1,1,0,10
TAMUF17CHI074,65.5,FR,0,Mixed,b,79,N,N,N,N,0,78,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1,1,1,0,1,1,0,0,1,0,7
TAMUF17CHI075,62.4,FR,0,Hisp,a. Sci,77,N,N,N,N,0,78,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,15,0,1,0,1,0,1,1,0,0,1,0,1,6
TAMUF17CHI076,87.2,FR,1,White,a. Sci,77,Y,Y,N,N,0,78,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI077,77.1,FR,0,White,b,76,Y,Y,N,N,0,78,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,13,1,0,0,1,1,1,1,0,1,1,1,1,9
TAMUF17CHI078,93.0,FR,0,"Hisp,White",b,78,N,Y,N,N,0,78,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,13,1,1,1,1,1,1,1,0,0,1,1,1,10
TAMUF17CHI079,80.3,FR,1,White,a. Sci,75,Y,Y,N,N,0,87,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,9,1,1,1,1,1,0,1,0,1,0,1,1,9
TAMUF17CHI080,76.2,FR,0,AsianInd,b,75,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,18,1,1,0,1,1,0,1,1,0,0,1,0,7
TAMUF17CHI082,72.0,JR,0,Asian,a. Sci,77,N,N,N,N,0,78,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,13,1,1,1,1,1,1,0,0,0,1,1,1,9
TAMUF17CHI083,90.7,FR,1,White,a. Eng,77,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI084,92.5,FR,0,Asian,a. Math,77,DK,Y,N,N,0,78,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,14,1,1,1,1,1,0,1,1,1,1,1,1,11
TAMUF17CHI085,50.4,FR,0,Mixed,c,77,Y,Y,N,N,0,78,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,12,1,0,1,1,1,0,0,0,0,0,0,0,4
TAMUF17CHI086,81.3,SO,0,Asian,b,77,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,16,1,1,1,1,0,1,1,0,0,1,1,1,9
TAMUF17CHI087,86.9,FR,0,White,b,75,Y,Y,N,N,0,87,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,6,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI088,83.1,FR,0,White,a. Sci,77,Y,Y,N,N,0,87,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,11,1,1,1,1,1,1,1,1,1,1,1,0,11
TAMUF17CHI089,77.8,FR,0,"White,Arab",b,77,Y,Y,N,N,0,87,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,13,1,1,1,1,0,0,1,0,1,0,1,1,8
TAMUF17CHI090,86.6,FR,1,White,a. Sci,75,Y,Y,N,N,0,78,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,15,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI093,68.2,FR,0,White,a. Sci,75,DK,Y,N,N,0,87,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,8,1,1,0,0,1,0,1,1,0,0,1,1,7
TAMUF17CHI094,67.6,FR,1,White,a. Eng,77,,Y,N,N,0,78,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,12,0,0,1,1,0,0,1,1,0,0,1,0,5
TAMUF17CHI095,90.7,FR,0,White,a. Sci,76,DK,N,N,N,0,87,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,16,1,1,0,1,1,1,1,0,1,1,1,1,10
TAMUF17CHI096,94.2,SO,1,White,b,77,N,Y,N,N,0,78,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,13,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI097,90.8,FR,0,White,b,75,Y,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI098,96.5,FR,0,AsianInd,b,76,Y,Y,N,N,0,87,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI099,81.5,SO,1,Black,a. Math,75,Y,Y,N,N,0,78,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,16,1,1,0,1,1,1,1,1,0,1,1,1,10
TAMUF17CHI100,73.3,FR,0,White,a. Sci,76,Y,Y,N,N,0,78,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,11,1,1,1,1,1,0,1,0,1,1,1,0,9
TAMUF17CHI101,80.1,FR,0,Hisp,a. Sci,78,Y,Y,N,N,0,87,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,14,1,1,1,0,0,1,1,0,1,1,1,0,8
TAMUF17CHI102,88.1,FR,1,White,b,77,DK,Y,N,N,0,87,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,10,1,0,1,1,1,1,0,1,1,1,1,1,10
TAMUF17CHI103,56.5,SO,0,White,,75,N,N,N,N,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,1,0,1,0,0,0,1,1,6
TAMUF17CHI104,77.2,JR,0,Hisp,a. Sci,77,N,N,N,Y,20-29,78,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,12,1,1,0,0,0,1,0,1,0,1,1,1,7
TAMUF17CHI105,76.8,FR,1,White,STEM,68,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,16,1,1,1,1,0,1,1,1,1,1,1,1,11
TAMUF17CHI106,79.3,SO,0,White,a. Math,77,Y,Y,N,Y,1-10,78,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,17,1,1,1,1,1,0,0,1,1,1,1,1,10
TAMUF17CHI107,95.5,FR,1,White,b,78,Y,Y,N,N,0,87,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,13,1,0,1,1,1,1,1,1,1,1,1,1,11
TAMUF17CHI108,80.4,FR,0,Hisp,b,78,Y,Y,N,N,0,78,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,17,1,1,1,1,1,1,1,0,1,0,1,1,10
TAMUF17CHI110,87.6,SO,1,White,c,78,N,Y,Y,Y,11-19,87,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,11,1,1,1,1,1,1,1,0,1,1,1,0,10
TAMUF17CHI111,72.3,FR,1,White,c,75,Y,Y,N,N,0,87,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,13,1,1,1,1,1,1,1,0,1,1,1,0,10
TAMUF17CHI112,65.0,SO,0,White,b,78,N,Y,N,N,0,78,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,1,1,0,1,0,1,1,0,0,0,1,0,6
TAMUF17CHI113,80.3,FR,1,White,a. Sci,76,Y,Y,N,N,0,87,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,11,1,0,1,1,1,0,1,0,0,0,1,1,7
TAMUF17CHI114,69.4,FR,1,"White, Asian",a. Sci,78,DK,Y,N,N,0,87,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,8,1,1,0,1,1,1,1,0,0,0,1,1,8
TAMUF17CHI115,97.4,FR,0,"White,AsianInd",a. Eng,77,Y,Y,N,N,0,78,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,15,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI116,89.1,FR,0,White,a. Sci,78,Y,Y,N,N,0,87,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI117,91.0,FR,1,White,a. Sci,75,Y,Y,N,N,0,87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI118,88.1,SO,0,White,a. Sci,77,Y,Y,N,N,0,78,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI119,94.3,FR,0,White,a. Sci,75,N,Y,N,N,0,87,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,12
TAMUF17CHI120,96.2,SO,1,White,a. Sci,77,Y,Y,N,N,0,78,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,9,1,1,1,1,1,1,1,0,1,1,1,1,11
TAMUF17CHI121,88.8,FR,0,AsianInd,b,78,N,Y,N,N,0,87,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,16,1,1,0,1,1,1,1,0,1,1,1,0,9
